Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp
deep shower base with seat,16,16,20,76.67,0,https://bestbath.com/products/showers/pans/,0,0,0,0,90,"[0,25,0,100,25,0,25,0,0,0,0,0]",1561892953
wet room floor water barrier,33,33,40,66.34,0,https://bestbath.com/waterstopper-stops-wet-floors/,0,0,0,0,21400000,"[33,33,67,100,0,33,33,33,0,0,0,0]",1561557553
shower unit with seat,19,19,320,76.04,0.86,https://bestbath.com/,0,0,0,1,53600000,"[100,100,54,35,54,100,54,35,44,54,54,44]",1561015149
bathtub wall enclosures,52,52,30,76.18,0.83,https://bestbath.com/products/tubs/shower-tub-combos/,0,0,0,1,10600000,"[25,50,75,25,100,25,50,25,25,25,25,50]",1561588945
tile over bathtub surround,40,40,40,80.23,2.75,https://bestbath.com/products/tub-surrounds/,0,0,0,1,8350000,"[29,14,14,14,29,57,71,100,14,14,14,14]",1561448623
1 piece fiberglass tub,10,10,30,81.76,1.12,https://bestbath.com/product/single-piece-tub-shower-32x60x72-showertub-combo-2/,0,0,1,1,9620000,"[0,20,20,20,100,40,20,20,20,60,20,20]",1561586993
48 inch shower kit,86,86,90,80.75,0.69,https://bestbath.com/,0,0,0,1,41800000,"[52,52,29,100,41,82,65,65,41,65,41,82]",1561163322
shower surround options,81,81,140,79.67,1.47,https://bestbath.com/,0,0,0,1,11900000,"[65,35,35,81,27,35,54,35,42,100,54,65]",1561090498
48x60 shower,18,18,40,73.24,0.94,https://bestbath.com/product/barrier-free-60-x-48-shower-pan-traditional-threshold-1-curb-height-p6048b1t-v2/,0,0,0,1,83,"[16,3,3,3,12,3,6,16,3,100,3,3]",1561453159
acrylic one piece shower units,47,47,20,76.36,0.93,https://bestbath.com/who-we-serve/,0,0,0,1,8070000,"[14,43,14,14,14,14,14,14,14,14,100,14]",1561794146
2x77,70,56,70,62.62,0,https://bestbath.com/width-x-depth-x-height/63-x-37-1-2-x-77-1-4/,0,0,0,0,6330000,"[0,0,0,0,0,0,0,0,0,100,33,33]",1562766019
modern roll top bath,85,85,40,72.13,0,https://bestbath.com/tiledesign/,0,0,0,0,103000000,"[25,0,25,0,0,0,100,0,0,0,0,0]",1561526973
bathroom window trim,21,21,50,73.76,0.76,https://bestbath.com/window-trim-kits-3/,0,0,0,1,98100000,"[9,3,6,81,100,16,3,3,3,34,3,6]",1561342365
subway tile acrylic surround,82,82,50,75.55,0.27,https://bestbath.com/,0,0,0,1,956000,"[14,71,14,14,29,43,14,100,29,14,29,14]",1562602203
frank and sons construction inc,39,39,20,79.02,0,https://bestbath.com/staging/dealer/frank-sons-construction/,0,0,0,0.14,31200000,"[0,0,25,25,100,0,25,25,0,0,0,25]",1561916141
bath rod,67,67,170,85.03,0.95,https://bestbath.com/product/corner-curtain-rod-kits/,0,0,0,1,97200000,"[100,52,100,100,81,100,81,81,81,81,52,67]",1561070680
40 inch shower enclosures,41,41,70,84.07,0.8,https://bestbath.com/,0,0,0,1,58900000,"[25,50,100,25,25,100,25,25,50,75,50,25]",1561234456
powder room layout ideas,32,32,20,81.47,2.78,https://bestbath.com/make-room-for-perfect-powder-room/,0,0,0,0.55,20500000,"[100,11,11,11,100,11,0,22,56,11,11,11]",1561778654
bathtub pieces,34,34,20,80.01,0.58,https://bestbath.com/products/tubs/shower-tub-combos/,0,0,0,1,49800000,"[14,14,14,14,71,29,14,14,100,14,43,14]",1561800668
neo angle shower base dimensions,34,34,30,80.35,0.63,https://bestbath.com/product/curbed-42-x-42-neo-angle-shower-pan-5-curb-height-np4242-v2/,0,0,0,1,93,"[11,11,11,56,33,11,100,33,11,44,22,11]",1561593876
small walk in shower with bench,61,61,20,82.16,0.28,https://bestbath.com/,0,0,0,0.87,255000000,"[100,50,50,50,50,50,50,50,50,50,50,100]",1561809980
63 x 42,10,10,20,75.86,0,https://bestbath.com/product/code-compliant-63-x-42-shower-pan-beveled-threshold-34-curb-height-p26342a75b/,0,0,0,0,2020000000,"[20,20,100,80,100,20,100,80,100,40,20,20]",1561832558
what is an accessible tub,78,78,50,64.76,0,https://bestbath.com/,0,0,0,0.14,168000000,"[14,14,14,100,29,14,14,57,29,14,14,14]",1561436441
best bathtub and shower cleaner,22,22,30,87.15,0.64,https://bestbath.com/cleaning-and-maintenance/,0,0,0,0.62,11700000,"[0,0,33,33,33,67,33,33,33,67,100,67]",1561592602
ada half bath dimensions,66,66,20,77.63,0,https://bestbath.com/case-studies/,0,0,0,0.54,27400000,"[43,100,14,14,29,14,14,29,14,14,14,71]",1561835249
potter construction,28,28,320,61.12,5.65,https://bestbath.com/dealer/potter-construction/,0,0,2,0.07,95300000,"[82,100,82,67,100,100,100,67,67,82,82,82]",1561012271
wet room water stopper,8,8,20,66.25,0,https://bestbath.com/waterstopper-stops-wet-floors/,0,0,0,0,6990000,"[0,100,100,0,100,0,100,100,100,100,100,0]",1562088430
how to clean shower curtain by hand,85,85,30,80.71,0,https://bestbath.com/cleaning-and-maintenance/,0,0,0,0.07,38000000,"[29,57,14,14,14,14,100,14,14,14,14,14]",1561674397
long shower trays,36,36,50,58.38,0.56,https://bestbath.com/products/showers/pans/,0,0,0,1,34600000,"[56,100,11,0,11,33,0,33,11,56,0,56]",1562607502
plus size bathtub,71,71,70,81.94,1.46,https://bestbath.com/products/tubs/walk-in-tubs/,0,0,0,1,63900000,"[11,11,11,11,100,78,44,11,11,11,22,56]",1561230393
bath space saver,70,70,140,90.51,0.37,https://bestbath.com/8-bathroom-space-savers/,0,0,0,1,15700000,"[100,65,41,100,100,65,52,41,100,52,82,100]",1561097419
ada compliant tub,8,8,30,67.42,3.54,https://bestbath.com/products/,0,0,3,1,1380000,"[40,80,20,20,20,20,20,20,20,20,100,20]",1561571091
bath tub soap,85,85,170,87.47,1.17,https://bestbath.com/products/accessories/,0,0,0,1,121000000,"[81,81,67,81,81,81,81,81,100,81,81,81]",1561070583
popping shower,83,83,90,75.25,0.28,https://bestbath.com/6-popular-trends-popping-up-in-powder-rooms/,0,0,0,0.68,57800000,"[20,20,100,80,20,60,20,20,20,20,100,20]",1561165883
shower grab bars placement,31,31,880,71.82,1.64,https://bestbath.com/bathroom-safety-features-support-style/,0,0,1,1,2030000,"[88,88,88,100,100,72,72,72,88,100,100,100]",1560973186
bathrooms with garden tubs,36,36,30,88.36,0,https://bestbath.com/products/tubs/garden-tubs/,0,0,0,1,16900000,"[33,33,33,33,33,67,100,33,33,67,33,67]",1561622091
bathroom stall installers,85,85,40,49.83,13.35,https://bestbath.com/,0,0,0,0.76,764000,"[20,80,20,20,60,100,20,20,20,20,20,20]",1561444723
36 x 36 shower enclosure,36,36,210,84.3,1.14,https://bestbath.com/products/showers/36-x-36-showers/,0,0,0,1,99,"[54,54,36,44,44,54,54,54,36,82,67,100]",1561050565
low step over bathtubs,82,82,90,77.84,3.69,https://bestbath.com/products/tubs/walk-in-tubs/,0,0,0,1,55300000,"[11,11,11,11,11,11,100,22,11,11,11,33]",1561158003
60 x 32 shower base center drain,57,57,40,79.32,0.6,https://bestbath.com/products/showers/pans/,0,0,0,1,74,"[14,14,100,29,43,57,29,14,14,43,14,14]",1561456413
david asbridge,70,70,20,71.86,0,https://bestbath.com/dealer/dreammaker-of-rapid-city/,0,0,0,0,1330000,"[14,14,14,100,100,100,14,71,14,14,29,14]",1561894634
surface mount soap dish,20,20,40,81.91,1.46,https://bestbath.com/product/surface-mount-soap-dish/,0,0,0,1,18700000,"[20,100,20,20,20,40,60,20,40,60,20,20]",1561450933
roman shower enclosures reviews,46,46,30,60.55,0,https://bestbath.com/,0,0,0,0,563000,"[0,50,0,0,0,0,0,100,50,50,0,0]",1561719621
new ada logo,88,88,90,56.96,0,https://bestbath.com/,0,0,0,0,1080000000,"[43,14,14,14,14,14,14,100,14,14,57,14]",1561198709
shower curtain height tub,43,43,70,77.72,0,https://bestbath.com/product/heavy-duty-vinyl-shower-curtain/,0,0,0,1,6370000,"[100,33,33,33,0,67,33,33,33,33,33,33]",1561302048
shower base 40 x 48,18,18,20,86.29,0,https://bestbath.com/products/showers/pans/,0,0,0,1,97,"[50,0,50,0,0,50,50,50,100,50,100,50]",1562051013
residential ada bathroom plans,63,63,20,72.8,0.86,https://bestbath.com/,0,0,0,1,9080000,"[20,80,20,80,40,20,20,20,20,20,100,40]",1561793551
handicap bench for tub,87,87,30,79.27,0.68,https://bestbath.com/products/seats/,0,0,0,1,2960000,"[8,4,4,12,81,4,35,4,4,4,100,19]",1561591363
48 corner shower kit,45,45,20,83.25,1.34,https://bestbath.com/product/barrier-free-48-x-48-shower-pan-traditional-threshold-1-curb-height-pc4848b1t-v2/,0,0,0,1,94,"[0,0,14,14,14,14,100,29,14,14,29,14]",1561787114
ada shower cad details,15,15,40,61.1,0,https://bestbath.com/,0,0,0,0.63,91,"[80,0,20,20,0,20,20,40,20,20,100,20]",1562667127
handicap bathroom products,55,55,40,67.97,0,https://bestbath.com/products/showers/,0,0,0,1,65900000,"[22,100,11,11,11,11,11,11,11,11,22,56]",1561507159
replace bathtub and shower surround,95,95,30,86.04,12.43,https://bestbath.com/products/tubs/shower-tub-combos/,0,0,0,0.91,1260000,"[33,33,33,33,33,33,33,33,100,33,33,33]",1561565932
watery blue paint color,53,53,30,79.4,0,https://bestbath.com/7-striking-paint-colors-powder-room/,0,0,0,0.5,3860000,"[11,11,11,33,11,11,11,22,100,11,22,56]",1561745630
shower curtain rod mounting brackets,63,63,50,84.46,0.68,https://bestbath.com/curtain-rod-kit/59-5-curtain-rod-kit-with-mounting-brackets/,0,0,0,1,97,"[18,6,18,12,6,82,52,100,65,82,82,65]",1562611555
smallest ada compliant bathroom,69,69,30,71.09,2.41,https://bestbath.com/products/showers/code-compliant/,0,0,0,1,295000,"[100,11,22,11,11,11,44,11,11,11,11,11]",1561578191
job opportunities caldwell id,30,30,90,83.59,0,https://bestbath.com/careers/,0,0,0,0,14600000,"[40,100,0,20,0,0,0,0,0,0,0,0]",1561192561
62 x 36,60,60,90,81.27,0,https://bestbath.com/product/code-compliant-625x4325-shower-pan-beveled-threshold-0-75-curb-height/,0,0,0,0.62,2470000000,"[0,0,0,0,20,40,20,100,20,20,20,20]",1561170593
accessible living,83,83,30,64.89,0,https://bestbath.com/dealer/accessible-living-concepts/,0,0,0,0.11,1040000000,"[20,20,20,80,20,20,20,20,20,100,40,20]",1561612349
ceramic soap dish for shower,68,68,260,86.33,0.75,https://bestbath.com/products/accessories/,0,0,0,1,22200000,"[100,54,44,82,82,44,54,44,67,82,67,36]",1561028345
tall shower pan,10,10,30,77.85,1.08,https://bestbath.com/types-shower-pans/,0,0,0,1,15600000,"[11,11,22,56,11,11,11,11,100,56,11,78]",1561586318
shower enclosures denver,63,63,30,47.04,3.06,https://bestbath.com/,0,0,0,1,530000,"[20,20,40,60,20,20,20,40,80,100,100,100]",1561572119
acrylic shower manufacturers,77,77,40,53.52,0,https://bestbath.com/who-we-serve/,0,0,0,0.81,11600000,"[11,11,33,11,100,11,11,33,44,22,11,11]",1562668777
30 x 46 shower base,13,13,40,76.27,0.5,https://bestbath.com/products/showers/pans/,0,0,0,1,76,"[78,56,100,78,11,100,22,11,22,22,11,44]",1561459444
cheap tub surround ideas,90,90,390,84.84,0.62,https://bestbath.com/,0,0,0,1,9960000,"[54,54,66,54,66,66,54,81,44,100,81,100]",1561009942
50 x 48,35,0,70,80.64,0,https://bestbath.com/product/code-compliant-78x48-shower-pan-beveled-threshold-1-curb-height/,0,0,0,0,6040000000,"[33,33,33,33,100,33,33,33,100,33,33,33]",1562765931
mobile home shower enclosure kits,49,49,20,75.75,0.18,https://bestbath.com/,0,0,0,1,12200000,"[11,11,11,100,11,11,11,78,11,22,11,11]",1561815406
shower grab bar installation height,30,30,40,73.47,0,https://bestbath.com/bathroom-safety-features-support-style/,0,0,0,0.67,15300000,"[14,29,100,14,29,14,29,14,14,14,14,71]",1561544452
shower kits with bench,23,23,110,80.21,0.73,https://bestbath.com/,0,0,0,1,81,"[35,27,19,19,19,27,27,65,27,100,65,42]",1561124610
simple pleasures bath soap,37,37,40,85.91,0,https://bestbath.com/simple-pleasures-art-of-the-bath/,0,0,0,1,8840000,"[100,25,25,25,25,25,25,25,75,25,75,25]",1561544834
collapsible shower threshold,22,22,20,66.91,0.86,https://bestbath.com/product-category/more/accessories/waterstopper-thresholds/,0,0,0,1,239000,"[9,9,9,9,100,9,9,45,9,36,9,9]",1561793396
drop in bathtub surround ideas,70,70,20,83.4,0.43,https://bestbath.com/products/tub-surrounds/,0,0,0,1,3560000,"[0,0,0,0,0,0,0,11,11,11,100,11]",1561804771
stand up shower unit,50,50,170,85.14,0.69,https://bestbath.com/faqs/,0,0,0,1,52500000,"[81,81,65,100,42,54,42,54,65,54,35,81]",1561071827
30 x 60 shower stall,28,28,90,81.62,0.72,https://bestbath.com/products/showers/need-it-now/,0,0,0,1,8100000,"[52,52,65,65,52,82,41,41,29,65,65,100]",1561162928
30 x 60 shower stall,29,29,90,81.62,0.72,https://bestbath.com/products/showers/,0,0,0,1,8100000,"[52,52,65,65,52,82,41,41,29,65,65,100]",1561162928
water containment barrier,29,29,110,59.37,3.28,https://bestbath.com/waterstopper/,0,0,0,1,8790000,"[43,52,43,33,43,52,33,43,52,67,81,100]",1561120678
how to install a 3 piece shower drain,17,17,90,72.99,0,https://bestbath.com/wp-content/uploads/2017/01/1050-MP-BarrierFree-LoPro_NoCrops_110216.pdf,0,0,0,0.27,18300000,"[14,57,14,14,14,29,14,43,14,100,14,14]",1561188831
shower handicap bar height,40,40,50,71.2,1.44,https://bestbath.com/bathroom-safety-features-support-style/,0,0,0,1,5650000,"[50,100,50,50,50,50,50,50,50,50,100,100]",1562616882
walk in tub shower combo,44,44,1600,78.94,4.67,https://bestbath.com/products/,0,0,2,1,13700000,"[100,42,42,54,67,54,67,100,67,79,79,79]",1560962504
one piece acrylic shower surround,51,51,40,79.35,1.76,https://bestbath.com/who-we-serve/,0,0,0,1,3230000,"[0,0,20,0,20,100,20,20,60,20,20,20]",1561451430
threshold 7,35,35,90,80.2,0,https://bestbath.com/product/curbed-60x42-shower-pan-curbed-threshold-7-curb-height/,0,0,0,0.15,186000000,"[14,14,14,14,29,14,100,14,43,43,14,14]",1561209932
bathroom window privacy screen,18,18,50,80.72,1,https://bestbath.com/10-ways-expose-bathroom-light-without-sacrificing-privacy/,0,0,0,1,107000000,"[4,4,8,42,4,27,4,4,81,27,81,100]",1562614453
what is a double threshold shower base,40,40,90,75.36,0,https://bestbath.com/products/showers/pans/,0,0,0,1,98,"[50,25,25,50,25,50,50,50,25,50,25,100]",1561213470
cheap complete showers,53,53,20,81.26,5.51,https://bestbath.com/,0,0,0,0.94,31500000,"[50,50,0,100,0,0,0,0,100,100,0,50]",1561770904
natural light in bathroom,31,31,90,77.57,0.43,https://bestbath.com/10-ways-expose-bathroom-light-without-sacrificing-privacy/,0,0,0,0.94,420000000,"[40,20,20,20,20,20,100,100,100,20,20,60]",1561164959
standard shower drain location,62,62,20,77.51,1.37,https://bestbath.com/bestbath-resources/installation-instructions-videos/,0,0,0,1,33000000,"[14,14,14,57,14,100,14,29,14,14,14,14]",1561785928
neo height,86,86,20,73.83,0,https://bestbath.com/product/curbed-42-x-42-neo-angle-shower-pan-5-curb-height-np4242-v2/,0,0,0,0,59600000,"[9,16,6,3,9,9,16,3,81,100,3,22]",1561998266
best shower chair for bathtub,35,35,30,74.31,0.37,https://bestbath.com/products/seats/,0,0,0,1,67300000,"[0,0,0,0,100,20,20,80,100,100,20,20]",1561599111
color shower,49,49,110,82.69,0.74,https://bestbath.com/wp-content/uploads/2017/05/Bestbath-Color-Options.pdf,0,0,0,1,629000000,"[65,65,52,65,65,65,82,82,52,82,65,100]",1561124686
cover tub surround,74,74,40,88.06,3.9,https://bestbath.com/commercial-showers-tubs/,0,0,0,0.98,22300000,"[57,100,43,29,14,14,14,29,29,14,14,57]",1561446324
mobile home shower stall kits,35,35,480,75.07,0.58,https://bestbath.com/,0,0,0,1,60,"[29,36,44,54,82,67,54,44,36,82,100,100]",1560995178
types of showers and tubs,30,30,50,79.53,2.46,https://bestbath.com/types-shower-pans/,0,0,0,1,6860000,"[11,11,78,11,56,22,11,22,11,100,11,44]",1562621654
ada logo download,86,86,40,65.78,0,https://bestbath.com/,0,0,0,0,443000000,"[11,22,100,11,11,11,11,11,33,56,11,33]",1562623353
best buy caldwell idaho,86,86,30,85.55,0,https://bestbath.com/,0,0,0,0,2320000,"[25,75,25,25,25,25,50,25,25,100,25,50]",1561623974
shower step,50,50,720,87.46,0.52,https://bestbath.com/products/showers/pans/,0,0,0,1,416000000,"[100,82,82,100,82,82,82,100,100,100,67,100]",1560981270
standard shower stall dimensions,88,88,30,80.55,0.79,https://bestbath.com/products/showers/,0,0,0,1,3120000,"[14,43,14,57,29,100,14,14,14,14,14,14]",1561592488
universal walk in tubs reviews,27,27,70,74.72,6.67,https://bestbath.com/faqs/,0,0,0,1,70,"[50,50,100,50,50,50,50,50,50,100,50,50]",1561226736
shower pan over tile,40,40,30,85.74,7.73,https://bestbath.com/types-shower-pans/,0,0,0,1,27500000,"[100,100,100,100,100,100,100,100,100,100,100,100]",1561569366
walk in jacuzzi tub shower combo,91,91,50,84.54,5.65,https://bestbath.com/products/tubs/walk-in-tubs/,0,0,0,0.94,3030000,"[50,7,7,29,21,14,14,50,7,100,7,7]",1562619044
60 x 60 shower stall,13,13,70,77.54,6.57,https://bestbath.com/product/multi-piece-barrier-free-60-x-60-x-80-12-corner-shower-traditional-t-threshold-1-curb-height-3lbsc6060fb1t/,0,0,4,1,95,"[0,0,0,0,0,0,0,0,0,100,20,20]",1561226108
36 x 42 double threshold shower base,45,45,50,73.07,1.24,https://bestbath.com/products/showers/pans/,0,0,0,1,89,"[40,100,100,80,20,20,20,20,20,20,20,40]",1562615924
how to measure shower stall,60,60,20,72.3,0,https://bestbath.com/,0,0,0,0.89,2580000,"[100,14,14,71,14,14,14,14,43,29,14,14]",1561946615
how to replace a tub shower combo,53,53,20,82.59,0.46,https://bestbath.com/products/tubs/shower-tub-combos/,0,0,0,1,3270000,"[40,20,40,40,20,20,20,80,20,20,100,20]",1561803252
walk in tubs for overweight,42,42,70,65.04,5.98,https://bestbath.com/faqs/,0,0,0,0.99,1320000,"[56,11,11,44,11,22,22,11,11,11,22,100]",1561226324
all in one mobility,31,31,260,81.04,1.67,https://bestbath.com/dealer/all-in-one-mobility-inc/,0,0,0,0.79,374000000,"[81,81,81,81,100,100,100,81,66,81,81,66]",1561026563
california ada grab bar requirements,56,56,50,67.73,0,https://bestbath.com/wp-content/uploads/2017/05/14-Key-Code-Issues.pdf,0,0,0,0.05,16900000,"[0,0,14,71,14,14,43,14,14,100,14,14]",1561361697
42 inch shower kit,29,29,50,79.08,0.64,https://bestbath.com/,0,0,0,1,23900000,"[33,11,11,11,44,33,11,11,11,11,100,22]",1562614015
1 4 trim,19,19,140,70.01,0.37,https://bestbath.com/product/1-14-trim-kit-2/,0,0,0,1,839000000,"[82,65,65,65,82,65,100,82,65,100,82,100]",1561097420
double shower bathroom ideas,72,78,40,88.17,0.28,https://bestbath.com/,0,0,0,0.7,73500000,"[11,22,11,11,11,11,100,100,11,11,33,11]",1562752891
best bathtub manufacturers,67,67,20,70.78,2.8,https://bestbath.com/about-bestbath/,0,0,0,1,8570000,"[22,11,56,11,11,33,11,11,11,78,11,100]",1561776139
specialistic,35,35,70,85,0,https://bestbath.com/dealer/specialistic-construction-inc/,0,0,0,0,270000,"[44,11,11,11,11,56,11,11,11,11,100,22]",1561304101
pre molded shower enclosure,38,38,50,84.93,0,https://bestbath.com/,0,0,0,1,3200000,"[25,25,50,75,25,25,75,25,25,25,25,100]",1561418078
shower basins for sale,16,16,40,80.01,1,https://bestbath.com/types-shower-pans/,0,0,0,1,8390000,"[14,14,14,14,14,100,29,14,14,14,29,29]",1561455585
shower basins for sale,15,15,40,80.01,1,https://bestbath.com/products/showers/pans/,0,0,0,1,8390000,"[14,14,14,14,14,100,29,14,14,14,29,29]",1561455585
a powder room,36,36,40,84.72,3.14,https://bestbath.com/make-powder-room-accessible-universal-design/,0,0,0,0.34,535000000,"[20,100,40,20,40,20,20,20,20,40,60,60]",1561446949
accessible bathroom design ideas,34,34,30,71.44,0.5,https://bestbath.com/,0,0,0,0.95,46400000,"[20,20,20,20,20,0,0,100,20,20,20,20]",1561593696
classic tile,69,69,1600,62.18,1.8,https://bestbath.com/product-tag/classic-tile/,0,0,0,0.47,349000000,"[84,84,84,84,84,84,84,68,68,84,84,100]",1560963205
delta shower curtain rod,30,30,110,81.77,1.08,https://bestbath.com/product/delta-accessory-package-for-corner-42w-x-42d-barrier-free-showers-kpackbc4242d/,0,0,0,1,1890000,"[100,79,79,64,79,64,64,64,100,100,100,100]",1561122622
neo angle shower curtain track,19,19,90,80.83,0.68,https://bestbath.com/product/corner-curtain-rod-kits/,0,0,0,1,97,"[14,14,100,14,14,71,14,14,14,14,71,14]",1561163398
quartz shower threshold,73,73,110,69.75,0.57,https://bestbath.com/molten-stone/,0,0,0,1,718000,"[100,82,52,82,100,100,100,82,29,41,41,41]",1561125902
walk in shower and bath combo,30,30,20,80.93,3.65,https://bestbath.com/,0,0,0,1,12000000,"[14,14,71,14,0,0,100,57,14,14,14,14]",1561774229
molding around tub surround,42,42,20,82.19,0.5,https://bestbath.com/products/accessories/,0,0,0,0.97,6450000,"[33,100,33,100,33,33,33,33,33,33,33,100]",1561801782
drywall around shower insert,50,50,20,80.11,0,https://bestbath.com/wp-content/uploads/2017/01/1051_Multi-Pc-Shwr-NoCrops_103116.pdf,0,0,0,0.79,1110000,"[11,11,11,11,11,56,11,22,22,100,11,11]",1561902046
shower pan surround,44,44,20,84.06,0,https://bestbath.com/,0,0,0,1,5120000,"[25,25,25,25,50,25,100,25,25,25,25,50]",1562049690
tub insert for shower stall,14,14,20,81.47,0.56,https://bestbath.com/,0,0,0,1,1010000,"[33,22,22,22,22,11,11,11,100,11,11,11]",1561800812
home checklist,53,53,170,78.31,0.34,https://bestbath.com/dream-home-checklist-homeowners-plan-age-place/,0,0,0,0.1,188000000,"[65,81,65,81,81,65,65,54,65,100,81,81]",1561073800
odd size shower curtains,42,42,40,66.43,0.82,https://bestbath.com/product/corner-curtain-rod-kits/,0,0,0,1,3380000,"[100,80,20,20,40,60,20,60,20,20,20,20]",1561454146
tub and shower base molding,61,61,20,86.45,0.41,https://bestbath.com/product/3-trim-kit/,0,0,0,1,7070000,"[0,0,0,0,0,100,14,29,14,57,29,14]",1561805144
simple bathrooms contact number,68,68,30,67.5,0,https://bestbath.com/commercial-showers-tubs/,0,0,0,0,368000000,"[0,0,0,0,0,0,0,0,0,0,0,100]",1561725791
32 x 44 shower base,13,16,70,80.42,0.21,https://bestbath.com/products/showers/pans/,0,0,0,1,90,"[60,20,20,40,20,20,40,20,100,60,20,40]",1562768521
mobile home showers and bathtubs,83,83,110,70.48,0.93,https://bestbath.com/,0,0,0,1,11200000,"[82,100,82,100,65,29,12,29,82,52,82,52]",1561123619
46 inch tub shower,41,41,30,82.28,0.23,https://bestbath.com/products/tubs/shower-tub-combos/,0,0,0,1,11900000,"[11,11,56,100,11,11,0,0,11,11,33,11]",1561599140
replace shower pan with tile,36,36,140,83.99,4.15,https://bestbath.com/types-shower-pans/,0,0,0,0.94,38076,"[82,82,82,100,82,82,82,65,65,100,100,100]",1561090134
48 x 48 shower,22,22,170,79.78,0.81,https://bestbath.com/product/barrier-free-48-x-48-shower-pan-traditional-threshold-1-curb-height-pc4848b1t-v2/,0,0,0,1,325000000,"[100,42,65,81,81,65,65,65,81,81,65,100]",1561071143
how to make a tub handicap accessible,95,95,40,69.76,2.67,https://bestbath.com/,0,0,0,0.98,49900000,"[11,78,11,11,11,100,11,11,11,22,44,11]",1561447709
curtains 74 width,57,57,50,82.91,1.55,https://bestbath.com/product/heavy-duty-vinyl-shower-curtain/,0,0,0,1,89,"[14,14,14,14,14,14,14,14,29,29,14,100]",1562617202
shower curtain rod dimensions,68,68,50,88.82,0,https://bestbath.com/product/corner-curtain-rod-kits/,0,0,0,0.98,5840000,"[14,29,14,14,29,100,14,29,57,100,14,29]",1561426505
bath top,38,38,320,83.82,1.22,https://bestbath.com/,0,0,0,1,1510000000,"[81,67,81,100,81,54,67,54,44,54,54,81]",1561014435
36 in x 36 in window trim kit in white,19,19,90,75.57,0,https://bestbath.com/wp-content/uploads/2016/02/WTK37-Window-Trim-Kit.pdf,0,0,0,0.28,33700000,"[20,20,20,40,20,20,100,20,20,20,0,20]",1561170308
safety grab rails for bathrooms,27,27,30,78.69,1.12,https://bestbath.com/bathroom-safety-features-support-style/,0,0,0,1,39500000,"[0,0,0,0,0,20,40,40,20,20,20,100]",1561586180
ada double tub,35,35,20,64.97,0,https://bestbath.com/,0,0,0,1,26300000,"[20,60,20,60,20,40,100,20,80,40,20,20]",1561835249
corner shower surrounds,46,46,210,84.44,0.93,https://bestbath.com/,0,0,0,1,6150000,"[67,67,44,36,54,67,54,54,54,44,36,100]",1561051366
walk in shower designs,57,57,2900,80.18,1.13,https://bestbath.com/,0,0,0,1,59500000,"[55,100,82,43,43,66,55,43,43,100,66,82]",1562817111
homecare by design,30,30,170,74.57,1.88,https://bestbath.com/homecare-smart-design-accommodates-everyone-grab-bars/,0,0,0,0.14,16200000,"[65,81,65,65,54,54,54,54,54,54,100,81]",1561067697
walk in tub with shower enclosure,32,32,1300,74.1,6.11,https://bestbath.com/,0,0,5,1,4130000,"[42,37,37,42,42,54,54,54,42,100,67,79]",1560965047
bathroom space requirements,26,26,90,79.34,0.89,https://bestbath.com/wp-content/uploads/2017/05/14-Key-Code-Issues.pdf,0,0,0,0.33,82800000,"[100,50,50,50,100,50,50,50,50,50,50,50]",1561162093
shower curb top,18,18,260,71.39,0.62,https://bestbath.com/selecting-proper-shower-threshold/,0,0,0,1,14500000,"[52,52,66,81,100,100,81,66,66,81,81,100]",1561028728
bathtub to stand up shower,72,72,20,85.27,1.53,https://bestbath.com/faqs/,0,0,0,1,53700000,"[100,100,50,50,50,50,50,50,50,50,50,50]",1561787501
42 shower,33,33,110,83.61,0.82,https://bestbath.com/product/curbed-42x36-shower-pan-curbed-threshold-4-curb-height/,0,0,0,1,94,"[64,64,64,79,64,50,64,64,79,79,100,100]",1560957843
barrier free,43,43,480,70.02,6.23,https://bestbath.com/products/showers/barrier-free/,0,0,0,0.02,208000000,"[44,44,44,44,100,55,44,44,36,55,44,67]",1560991549
ada shower grab bar mounting height,83,83,40,69,0,https://bestbath.com/bathroom-safety-features-support-style/,0,0,0,0.7,4460000,"[100,33,33,33,67,33,33,67,33,33,33,33]",1562667116
large bathtub shower combo,38,38,210,79.36,0.79,https://bestbath.com/product/single-piece-tub-shower-32x60x72-showertub-combo-2/,0,0,0,1,82,"[66,52,44,44,66,81,81,52,81,100,66,81]",1561051789
top rated bathtubs,78,78,140,78.88,1,https://bestbath.com/products/tubs/walk-in-tubs/,0,0,0,1,40100000,"[67,52,67,52,52,67,100,52,67,81,100,52]",1561092041
42 shower surround,37,37,50,81.55,1.03,https://bestbath.com/products/tub-surrounds/,0,0,0,1,12300000,"[0,0,0,0,0,0,0,100,100,100,100,100]",1562611006
angled shower bath,96,96,20,83.83,0,https://bestbath.com/products/showers/pans/,0,0,0,0,4730000,"[0,0,0,0,20,0,0,0,0,100,0,0]",1561845602
one piece bathtub surround,20,20,320,83.01,0.91,https://bestbath.com/product/single-piece-tub-shower-32x60x72-showertub-combo-2/,0,0,0,1,3600000,"[100,54,54,44,44,54,67,100,82,100,82,100]",1561015062
